Usuário;Computador;Ordem;Cod. Projeto;Cod. Lote;Cod. Pasta;Projeto;Lote;Pasta;Fase;Fase Destino;Imgs. Antes;Imgs. Depois;Docs. Antes;Docs. Depois;Início;Término;Tempo Gasto;Local;
Kayo;OCR;57242;19;1;5;2024;06;GERRPROC_EDUCA0006;Exportação;Suspenso Exportação;561;561;1;1;10/1/2024 08:41:09;10/1/2024 08:41:33;00:00:24;Local Padrão;
Kayo;OCR;57243;19;1;6;2024;06;GERRPROC_SIMPLI0009;Exportação;Suspenso Exportação;264;264;1;1;10/1/2024 08:41:33;10/1/2024 08:41:34;00:00:01;Local Padrão;
Kayo;OCR;57244;19;1;7;2024;06;GERREC_PROCESSO_PUBLICO_0028;Exportação;Suspenso Exportação;736;736;1;1;10/1/2024 08:41:34;10/1/2024 08:41:34;00:00:00;Local Padrão;
Kayo;OCR;57245;19;1;9;2024;06;GERREC_PROCESSOS_CONSULTAS_PARECER_0034;Exportação;Suspenso Exportação;96;96;1;1;10/1/2024 08:41:35;10/1/2024 08:41:35;00:00:00;Local Padrão;
Kayo;OCR;57246;19;1;10;2024;06;GERREC_PROCESSOS_PUBLICO_SMS_0018;Exportação;Suspenso Exportação;446;446;1;1;10/1/2024 08:41:35;10/1/2024 08:41:36;00:00:01;Local Padrão;
Kayo;OCR;57247;19;1;13;2024;06;GERREC_PROCESSOS_DESPACHOS_0022;Exportação;Suspenso Exportação;626;626;1;1;10/1/2024 08:41:36;10/1/2024 08:41:37;00:00:01;Local Padrão;
Kayo;OCR;57248;19;1;15;2024;06;GERREC_PROCESSO_SEINFRA_0026;Exportação;Suspenso Exportação;199;199;1;1;10/1/2024 08:41:37;10/1/2024 08:41:37;00:00:00;Local Padrão;
Kayo;OCR;57249;19;1;18;2024;06;GERREC_PROCESSO_HOMOLOCACAO_0032;Exportação;Suspenso Exportação;278;278;1;1;10/1/2024 08:41:38;10/1/2024 08:41:38;00:00:00;Local Padrão;
Kayo;OCR;57250;19;1;5;2024;06;GERRPROC_EDUCA0006;Suspenso Exportação;Exportação;561;561;1;1;10/1/2024 08:42:04;10/1/2024 08:42:04;00:00:00;Local Padrão;
Kayo;OCR;57251;19;1;6;2024;06;GERRPROC_SIMPLI0009;Suspenso Exportação;Exportação;264;264;1;1;10/1/2024 08:42:04;10/1/2024 08:42:04;00:00:00;Local Padrão;
Kayo;OCR;57252;19;1;7;2024;06;GERREC_PROCESSO_PUBLICO_0028;Suspenso Exportação;Exportação;736;736;1;1;10/1/2024 08:42:04;10/1/2024 08:42:04;00:00:00;Local Padrão;
Kayo;OCR;57253;19;1;9;2024;06;GERREC_PROCESSOS_CONSULTAS_PARECER_0034;Suspenso Exportação;Exportação;96;96;1;1;10/1/2024 08:42:04;10/1/2024 08:42:04;00:00:00;Local Padrão;
Kayo;OCR;57254;19;1;10;2024;06;GERREC_PROCESSOS_PUBLICO_SMS_0018;Suspenso Exportação;Exportação;446;446;1;1;10/1/2024 08:42:04;10/1/2024 08:42:04;00:00:00;Local Padrão;
Kayo;OCR;57255;19;1;13;2024;06;GERREC_PROCESSOS_DESPACHOS_0022;Suspenso Exportação;Exportação;626;626;1;1;10/1/2024 08:42:04;10/1/2024 08:42:04;00:00:00;Local Padrão;
Kayo;OCR;57256;19;1;15;2024;06;GERREC_PROCESSO_SEINFRA_0026;Suspenso Exportação;Exportação;199;199;1;1;10/1/2024 08:42:04;10/1/2024 08:42:04;00:00:00;Local Padrão;
Kayo;OCR;57257;19;1;18;2024;06;GERREC_PROCESSO_HOMOLOCACAO_0032;Suspenso Exportação;Exportação;278;278;1;1;10/1/2024 08:42:04;10/1/2024 08:42:04;00:00:00;Local Padrão;
Kayo;OCR;57259;19;1;5;2024;06;GERRPROC_EDUCA0006;Exportação;Finalizado;561;561;1;1;10/1/2024 08:45:30;10/1/2024 08:46:10;00:00:40;Local Padrão;
Kayo;OCR;57260;19;1;6;2024;06;GERRPROC_SIMPLI0009;Exportação;Finalizado;264;264;1;1;10/1/2024 08:46:17;10/1/2024 08:46:35;00:00:18;Local Padrão;
Kayo;OCR;57261;19;1;7;2024;06;GERREC_PROCESSO_PUBLICO_0028;Exportação;Finalizado;736;736;1;1;10/1/2024 08:46:36;10/1/2024 08:47:20;00:00:44;Local Padrão;
Kayo;OCR;57262;19;1;9;2024;06;GERREC_PROCESSOS_CONSULTAS_PARECER_0034;Exportação;Finalizado;96;96;1;1;10/1/2024 08:47:20;10/1/2024 08:47:33;00:00:13;Local Padrão;
Kayo;OCR;57263;19;1;10;2024;06;GERREC_PROCESSOS_PUBLICO_SMS_0018;Exportação;Finalizado;446;446;1;1;10/1/2024 08:47:33;10/1/2024 08:47:59;00:00:26;Local Padrão;
Kayo;OCR;57264;19;1;13;2024;06;GERREC_PROCESSOS_DESPACHOS_0022;Exportação;Finalizado;626;626;1;1;10/1/2024 08:47:59;10/1/2024 08:48:35;00:00:36;Local Padrão;
