Usuário;Computador;Ordem;Cod. Projeto;Cod. Lote;Cod. Pasta;Projeto;Lote;Pasta;Fase;Fase Destino;Imgs. Antes;Imgs. Depois;Docs. Antes;Docs. Depois;Início;Término;Tempo Gasto;Local;
Sara;DIGITACAO-1;54454;31;2;481;2024;07;JM_ADMI_0467;Verificação;Validação 2;1313;1313;46;46;9/19/2024 09:23:57;9/19/2024 10:05:31;00:41:34;Local Padrão;
Sara;DIGITACAO-1;54455;31;2;437;2024;07;JM_ADMI_0445;Verificação;Validação 2;1066;1066;36;36;9/19/2024 10:05:31;9/19/2024 10:05:43;00:00:12;Local Padrão;
Sara;DIGITACAO-1;54467;31;2;654;2024;07;JM_ADMI_0647;Verificação;Validação 2;1171;1171;31;31;9/19/2024 10:05:57;9/19/2024 10:44:38;00:38:41;Local Padrão;
Sara;DIGITACAO-1;54469;31;2;438;2024;07;JM_ADMI_0444;Verificação;Validação 2;908;908;28;28;9/19/2024 10:44:38;9/19/2024 10:44:45;00:00:07;Local Padrão;
Sara;DIGITACAO-1;54498;31;2;597;2024;07;JM_ADMI_0592;Verificação;Validação 2;1136;1136;31;31;9/19/2024 10:45:02;9/19/2024 11:17:00;00:31:58;Local Padrão;
Sara;DIGITACAO-1;54499;31;2;443;2024;07;JM_ADMI_0439;Verificação;;1069;1069;0;0;9/19/2024 11:17:00;9/19/2024 11:17:16;00:00:16;Local Padrão;
Sara;DIGITACAO-1;54500;31;2;598;2024;07;JM_ADMI_0586;Verificação;Validação 2;1183;1183;34;34;9/19/2024 11:17:33;9/19/2024 11:17:41;00:00:08;Local Padrão;
Sara;DIGITACAO-1;54525;31;2;598;2024;07;JM_ADMI_0586;Verificação;Validação 2;1183;1183;34;34;9/19/2024 11:18:02;9/19/2024 13:07:47;01:49:45;Local Padrão;
Sara;DIGITACAO-1;54526;31;2;458;2024;07;JM_ADMI_0464;Verificação;Validação 2;1201;1201;41;41;9/19/2024 13:07:47;9/19/2024 13:07:53;00:00:06;Local Padrão;
Sara;DIGITACAO-1;54527;31;2;462;2024;07;JM_ADMI_0462;Verificação;Validação 2;1209;1209;37;37;9/19/2024 13:08:18;9/19/2024 13:08:27;00:00:09;Local Padrão;
